# d = 1, rhop = 1, e = 0.99, mu = 0.1, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 6.1903 2.3325 599.3121 0.4019
0.050 1.2249 0.4362 20.1027 0.9035
0.100 0.8048 0.2780 5.3334 1.1147
0.200 0.8116 0.2741 1.6875 1.1100
0.300 1.2922 0.4445 1.0571 0.8797
0.400 2.5429 0.9120 0.8694 0.6271
0.500 6.3740 2.3530 0.7960 0.3961
0.500 6.6159 2.4436 0.8032 0.3888
0.520 8.5385 3.1872 0.7930 0.3422
0.550 13.6085 4.9941 0.7634 0.2711
0.570 21.4294 7.7396 0.7462 0.2160
0.600 112.5514 36.9511 0.7830 0.0943
0.610 979.6528 285.5031 1.1094 0.0319
0.612 2170.8197 615.6589 1.2719 0.0215
