# d = 1, rhop = 1, e = 0.7, mu = 0.1, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 1.2755 0.7159 123.6623 0.8854
0.050 0.2757 0.1484 4.6353 1.9046
0.100 0.1844 0.0970 1.2934 2.3289
0.200 0.1936 0.0995 0.4834 2.2727
0.300 0.3092 0.1593 0.3623 1.7984
0.400 0.5692 0.3187 0.2617 1.3254
0.500 1.6008 0.8982 0.1858 0.7904
0.500 1.5836 0.8858 0.2010 0.7947
0.520 2.1872 1.1895 0.1916 0.6762
0.550 4.4279 2.2260 0.2154 0.4752
0.570 9.7900 4.4334 0.2745 0.3196
0.600 115.3715 39.2604 0.6097 0.0931
0.610 1115.6961 326.0815 1.0916 0.0299
