# d = 1, rhop = 1, e = 0.95, mu = 0.5, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 2.4598 1.2271 237.6115 0.6376
0.050 0.6121 0.2952 10.0437 1.2782
0.100 0.4367 0.2085 2.8935 1.5133
0.200 0.4839 0.2405 1.0005 1.4375
0.300 0.7972 0.4079 0.6481 1.1200
0.400 1.6332 0.8762 0.5149 0.7825
0.500 4.6886 2.5254 0.4313 0.4618
0.500 4.8979 2.6137 0.4431 0.4519
0.520 6.8295 3.6213 0.4256 0.3827
0.540 10.8046 5.5957 0.4107 0.3042
0.550 15.3270 7.7625 0.4060 0.2554
0.560 24.3594 11.9915 0.4101 0.2026
0.570 59.5167 27.6710 0.4620 0.1296
0.578 192.9957 83.3456 0.6038 0.0720
0.584 1022.5406 405.8582 0.9288 0.0313
