# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^4, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2392 0.1067 0.5505 2.0446 0.05481 1e4
0.250 0.2763 0.1222 0.3939 1.9025 0.07024 1e4
0.300 0.3486 0.1589 0.3155 1.6936 0.09202 1e4
0.350 0.4659 0.2158 0.2756 1.4651 0.12447 1e4
0.400 0.6764 0.3091 0.2548 1.2159 0.18005 1e4
0.450 1.0609 0.4718 0.2550 0.9709 0.27968 1e4
0.500 1.9115 0.8264 0.2705 0.7233 0.48668 1e4
0.520 2.6155 1.0883 0.2919 0.6183 0.64798 1e4
0.540 3.8313 1.5201 0.3287 0.5109 0.90310 1e4
0.560 6.4380 2.3430 0.3998 0.3941 1.35244 1e4
0.580 12.5239 4.0910 0.5366 0.2826 2.09678 1e4
0.600 28.1973 7.8644 0.8029 0.1883 3.18798 1e4
0.620 63.3957 15.0286 1.2195 0.1256 4.36644 1e4
0.630 90.0350 19.7450 1.4567 0.1054 4.89157 1e4
0.634 102.6665 22.1215 1.5530 0.0987 5.08538 1e4
0.636 109.1795 23.2868 1.6082 0.0957 5.17892 1e4
0.638 116.0840 24.1407 1.6511 0.0928 5.27276 1e4
0.640 122.7692 25.1981 1.7059 0.0903 5.35551 1e4
0.650 157.3431 30.5828 1.9246 0.0797 5.78214 1e4
0.660 203.5111 37.0241 2.1480 0.0701 6.13389 1e4
0.670 245.8255 43.1245 2.3495 0.0638 6.48583 1e4
0.680 300.9641 49.5472 2.5213 0.0576 6.75679 1e4
