# d = 1, rhop = 1, e = 0.7, mu = 0.5, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 0.8061 0.4757 78.0890 1.1138
0.050 0.1970 0.1149 3.3091 2.2533
0.100 0.1412 0.0850 0.9793 2.6608
0.200 0.1754 0.1047 0.4399 2.3876
0.300 0.2939 0.1851 0.3323 1.8445
0.400 0.6079 0.4256 0.2218 1.2825
0.500 2.7125 1.7686 0.2028 0.6072
0.500 2.6381 1.7393 0.1879 0.6157
0.520 4.4697 2.7829 0.2086 0.4730
0.540 9.3307 5.2750 0.2539 0.3274
0.550 15.0795 8.0693 0.2905 0.2575
0.560 30.3737 15.1576 0.3544 0.1814
0.570 73.1672 33.7309 0.4542 0.1169
0.578 218.0682 93.0198 0.6079 0.0677
0.584 1319.6998 517.4208 0.9788 0.0275
