# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^3, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2349 0.1031 0.5558 2.0631 0.16638 1e3
0.250 0.2656 0.1172 0.3949 1.9404 0.20949 1e3
0.300 0.3314 0.1485 0.3150 1.7370 0.27337 1e3
0.350 0.4452 0.2001 0.2756 1.4988 0.36906 1e3
0.400 0.6428 0.2856 0.2583 1.2473 0.51907 1e3
0.450 1.0233 0.4439 0.2657 0.9886 0.78382 1e3
0.500 1.8391 0.7497 0.2939 0.7374 1.26200 1e3
0.520 2.4576 0.9661 0.3198 0.6379 1.56877 1e3
0.540 3.4375 1.2813 0.3595 0.5394 1.98153 1e3
0.560 4.9812 1.7262 0.4151 0.4481 2.50619 1e3
0.580 7.4457 2.3820 0.4903 0.3665 3.14033 1e3
0.600 11.1400 3.2607 0.5805 0.2996 3.82947 1e3
0.620 16.3268 4.3716 0.6818 0.2475 4.51889 1e3
0.630 19.5291 4.9892 0.7320 0.2263 4.85368 1e3
0.634 20.8933 5.2644 0.7526 0.2188 4.97905 1e3
0.636 21.6037 5.3884 0.7630 0.2151 5.04528 1e3
0.638 22.3256 5.5384 0.7724 0.2116 5.10196 1e3
0.640 23.0788 5.6427 0.7875 0.2082 5.16330 1e3
0.650 26.5925 6.3159 0.8306 0.1939 5.47834 1e3
0.660 31.2062 7.0495 0.8783 0.1790 5.75001 1e3
0.670 35.3895 7.7858 0.9188 0.1681 6.04456 1e3
0.680 40.6932 8.5892 0.9590 0.1568 6.27415 1e3
