# d = 1, rhop = 1, e = 0.8, mu = 0.1, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 1.8733 0.9852 181.3823 0.7306
0.050 0.3953 0.2000 6.5912 1.5906
0.100 0.2654 0.1299 1.8256 1.9409
0.200 0.2678 0.1297 0.6091 1.9324
0.300 0.4223 0.2071 0.4264 1.5387
0.400 0.8057 0.4185 0.3079 1.1141
0.500 2.1606 1.1032 0.2522 0.6803
0.500 2.1450 1.0991 0.2560 0.6828
0.520 2.8426 1.4332 0.2494 0.5931
0.550 5.3058 2.5192 0.2642 0.4341
0.570 10.7079 4.6972 0.3075 0.3056
0.600 111.7997 37.9362 0.6173 0.0946
0.610 1073.9948 313.5357 1.0935 0.0305
0.612 2381.5669 675.8637 1.2776 0.0205
