# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^5, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2414 0.1086 0.5436 2.0352 0.01775 1e5
0.250 0.2786 0.1264 0.3929 1.8947 0.02259 1e5
0.300 0.3520 0.1612 0.3146 1.6856 0.02967 1e5
0.350 0.4777 0.2199 0.2731 1.4469 0.04076 1e5
0.400 0.6856 0.3182 0.2527 1.2078 0.05872 1e5
0.450 1.0818 0.4920 0.2490 0.9614 0.09304 1e5
0.500 1.8649 0.8247 0.2556 0.7323 0.16258 1e5
0.520 2.5136 1.0710 0.2686 0.6307 0.22198 1e5
0.540 3.6570 1.5021 0.2932 0.5229 0.32683 1e5
0.560 6.0859 2.3548 0.3444 0.4054 0.54106 1e5
0.580 12.7847 4.3759 0.4626 0.2797 1.02121 1e5
0.600 40.4638 11.4633 0.7955 0.1572 2.13945 1e5
0.620 196.7884 43.2622 1.8672 0.0713 4.02355 1e5
0.630 396.3241 77.2438 2.7887 0.0502 4.85616 1e5
0.634 495.1846 92.0309 3.1637 0.0449 5.06566 1e5
0.636 555.9234 101.2600 3.3619 0.0424 5.22265 1e5
0.638 629.9203 113.0514 3.6141 0.0398 5.41120 1e5
0.640 693.9792 122.5251 3.8207 0.0380 5.52333 1e5
0.650 1026.9265 166.6702 4.7180 0.0312 6.04736 1e5
0.660 1487.2869 222.8077 5.6821 0.0259 6.44743 1e5
0.670 1920.3931 273.2703 6.3387 0.0228 6.84273 1e5
0.680 2436.4139 327.3878 7.0045 0.0203 7.15565 1e5
