# d = 1, rhop = 1, e = 0.9, mu = 0.1, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 3.1048 1.4457 300.3636 0.5675
0.050 0.6474 0.2877 10.7029 1.2429
0.100 0.4221 0.1826 2.8363 1.5393
0.200 0.4305 0.1868 0.9217 1.5241
0.300 0.6738 0.2954 0.5816 1.2182
0.400 1.3203 0.6014 0.4553 0.8703
0.500 3.3667 1.5172 0.4024 0.5450
0.500 3.4483 1.5801 0.4037 0.5385
0.520 4.4678 2.0012 0.3966 0.4731
0.550 7.5224 3.2474 0.3933 0.3646
0.570 13.3059 5.5178 0.4107 0.2741
0.600 115.5705 38.9638 0.6420 0.0930
0.610 1080.0339 313.5544 1.0900 0.0304
0.612 2194.6711 621.8125 1.2561 0.0213
